Date,Close,High,Low,Open,Volume,MA20,MA50,MA200
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,,,
2020-06-08,1935.76904296875,1957.4930107491402,1926.7525196311353,1941.8424103052032,2957841,1853.3957580566407,1750.491435546875,
2020-06-09,1936.0494384765625,1957.9602339345622,1925.0238949957918,1927.6869242841562,2909439,1860.0494689941406,1758.10171875,
2020-06-10,1970.3402099609375,1992.064174338693,1937.4038768720825,1940.7209149056946,5168397,1867.7562683105468,1765.7745581054687,
2020-06-11,1931.9378662109375,1966.8364570637661,1926.4719730218571,1962.1646365006693,2269513,1873.5359741210937,1771.8008325195312,
2020-06-12,1905.635498046875,1914.698783794581,1879.0061223693385,1879.1929495578656,2842642,1880.2038452148438,1776.5436499023438,
2020-06-15,1896.66552734375,1923.855497232205,1869.6156208103564,1905.2616306153768,2399022,1886.8634094238282,1780.481943359375,
2020-06-16,1911.522216796875,1937.824476277983,1897.6935818035165,1929.4619627889026,2146528,1891.810986328125,1785.5744653320312,
2020-06-17,1913.3909912109375,1923.715760903308,1893.535752616476,1911.7090900832152,2703527,1896.7099243164062,1789.8174560546875,
2020-06-18,1904.3275146484375,1924.0425750223328,1892.2741945338178,1910.7746499709663,1944389,1900.925115966797,1796.065703125,
2020-06-19,1910.40087890625,1952.8210332536228,1898.627913670508,1907.9715549779417,5681758,1903.6925048828125,1803.4518188476563,
2020-06-22,1894.84375,1917.5488446795111,1886.6214138383687,1915.4465253224498,3196138,1904.324200439453,1808.2722583007812,
2020-06-23,1901.71142578125,1909.8403483726977,1878.0719668439933,1893.9561576083456,4205944,1908.9023376464843,1814.5296728515625,
2020-06-24,1908.1580810546875,1928.7608525095068,1898.2538456434181,1900.4963420149384,2560937,1910.9007995605468,1819.7850244140625,
2020-06-25,1883.771240234375,1924.789842703612,1877.370869637006,1901.4307426708012,3043931,1911.726495361328,1824.681201171875,
2020-06-26,1979.777587890625,1992.064385324716,1887.3688357729322,1892.0874203951923,6300722,1918.8407836914062,1831.9465478515624,
2020-06-29,1963.706298828125,1987.9532306953915,1954.0357668722954,1969.6396023492518,3076341,1921.7557434082032,1839.24634765625,
2020-06-30,1945.4857177734375,1973.283044007543,1938.8518709032464,1962.1642047603762,3071725,1923.671160888672,1844.5020190429686,
2020-07-01,1954.736572265625,1975.199055973581,1943.0102565200734,1943.197083727458,2503466,1925.81552734375,1849.710732421875,
2020-07-02,2015.562744140625,2022.8975910868721,1960.2952175982714,1964.032672731919,3758699,1928.880194091797,1857.6452026367188,
2020-07-03,2055.27392578125,2060.2728650222434,2018.46007104957,2021.6368177808868,4185208,1935.9533264160157,1865.7804467773437,
2020-07-06,2114.653076171875,2120.913270879139,2060.2731237001844,2060.2731237001844,5190366,1944.897528076172,1873.0769970703125,
2020-07-07,2120.9130859375,2151.56027558103,2085.6408393897686,2125.6784343334934,5630055,1954.1407104492187,1881.611103515625,
2020-07-08,2073.260498046875,2125.1177077930474,2062.7023657627224,2121.0065968254344,2793358,1959.2867248535156,1888.8558374023437,
2020-07-09,2059.665771484375,2097.1804020658724,2047.238682266793,2082.6977572754868,3443998,1965.6731201171874,1895.4103833007812,
2020-07-10,2076.48388671875,2102.178896224673,2033.1760249050121,2060.5061713794935,9610320,1974.2155395507812,1901.4330151367187,
2020-07-13,2074.28857421875,2097.600915949892,2064.9449319925393,2074.28857421875,2963503,1983.0966918945312,1905.3845239257812,
2020-07-14,2029.39208984375,2092.041249250953,2022.8983048808905,2064.944689970793,2976738,1988.990185546875,1910.0032275390624,
2020-07-15,2087.27587890625,2111.662873246431,2037.9416367499416,2041.5855655059522,5569321,1997.6844299316406,1915.7367602539061,
2020-07-16,2092.754150390625,2184.7613526619657,2079.0351017575786,2101.416406075204,8582118,2007.10576171875,1922.1229907226561,
